Company,Item,Calories,Calories_from_Fat,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium__mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,Weight_Watchers_Pnts,Calorie_Category,Protein_Ratio,Fat_Calorie_Percent,Health_Score
McDonald’s,Angus Chipotle BBQ Bacon,800.0,350.0,39.0,18.0,2.0,145.0,2020.0,66.0,4.0,16.0,45.0,789.0,Alta,0.05625,43.75,0
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,400.0,190.0,22.0,10.0,1.0,75.0,1060.0,30.0,1.0,6.0,21.0,395.0,Media,0.0525,47.5,1
McDonald’s,Angus Deluxe Snack Wrap,410.0,220.0,25.0,10.0,1.5,75.0,990.0,27.0,2.0,3.0,20.0,403.0,Media,0.04878048780487805,53.65853658536586,1
McDonald’s,Angus Mushroom & Swiss Snack Wrap,430.0,230.0,26.0,10.0,1.5,75.0,730.0,27.0,2.0,2.0,22.0,420.0,Media,0.05116279069767442,53.48837209302325,2
McDonald’s,Mac Snack Wrap,330.0,170.0,19.0,7.0,1.0,45.0,690.0,26.0,1.0,3.0,15.0,325.0,Media,0.045454545454545456,51.515151515151516,3
McDonald’s,Small French Fries,230.0,100.0,11.0,1.5,0.0,0.0,160.0,29.0,3.0,0.0,3.0,228.5,Baja,0.013043478260869565,43.47826086956522,3
McDonald’s,Medium French Fries,380.0,170.0,19.0,2.5,0.0,0.0,270.0,48.0,5.0,0.0,4.0,378.5,Media,0.010526315789473684,44.73684210526316,3
McDonald’s,Large French Fries,500.0,220.0,25.0,3.5,0.0,0.0,350.0,63.0,6.0,0.0,6.0,497.5,Media,0.012,44.0,1
McDonald’s,Ketchup Packet,15.0,0.0,0.0,0.0,0.0,0.0,110.0,3.0,0.0,2.0,0.0,17.0,Baja,0.0,0.0,3
McDonald’s,Salt Packet,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,Baja,,,3
McDonald’s,Chicken McNuggets® (4 piece),190.0,110.0,12.0,2.0,0.0,25.0,360.0,12.0,1.0,0.0,9.0,183.0,Baja,0.04736842105263158,57.89473684210527,3
McDonald’s,Chicken McNuggets® (6 piece),280.0,160.0,18.0,3.0,0.0,40.0,540.0,18.0,1.0,0.0,13.0,270.0,Baja,0.04642857142857143,57.14285714285714,3
McDonald’s,Chicken McNuggets® (10 piece),470.0,270.0,30.0,5.0,0.0,65.0,900.0,30.0,2.0,0.0,22.0,453.0,Media,0.04680851063829787,57.446808510638306,1
McDonald’s,Barbeque Sauce,50.0,0.0,0.0,0.0,0.0,0.0,260.0,12.0,0.0,10.0,0.0,60.0,Baja,0.0,0.0,3
McDonald’s,Honey,50.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0,61.0,Baja,0.0,0.0,3
McDonald’s,Hot Mustard Sauce,60.0,20.0,2.5,0.0,0.0,5.0,250.0,9.0,2.0,6.0,1.0,65.0,Baja,0.016666666666666666,33.33333333333333,3
McDonald’s,Sweet ‘N Sour Sauce,50.0,0.0,0.0,0.0,0.0,0.0,150.0,12.0,0.0,10.0,0.0,60.0,Baja,0.0,0.0,3
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),400.0,210.0,24.0,3.5,0.0,50.0,1010.0,23.0,0.0,0.0,23.0,380.5,Media,0.0575,52.5,1
McDonald’s,Chicken Selects® Premium Breast Strips (5 pc),660.0,360.0,40.0,6.0,0.0,85.0,1680.0,39.0,0.0,0.0,38.0,628.0,Alta,0.05757575757575758,54.54545454545454,0
